Device: cpu
ESM dims = 1280
Dropped rows with missing ESM: 4382 -> 4382
Data ready: 3535 rows | 222 curves | 198 species

=== UDE core model -- UTPC + constrained residual | full training ===
  [Warmup theta] Ep 01 | total 0.05174  (data 0.04842 | reg 0.00000 | mono 0.00000 | tail 0.06622)
  [Warmup theta] Ep 02 | total 0.04575  (data 0.04188 | reg 0.00000 | mono 0.00000 | tail 0.07748)
  [Warmup theta] Ep 03 | total 0.04618  (data 0.04258 | reg 0.00000 | mono 0.00000 | tail 0.07199)
  [Warmup theta] Ep 04 | total 0.04421  (data 0.04056 | reg 0.00000 | mono 0.00000 | tail 0.07309)
  [Warmup theta] Ep 05 | total 0.04449  (data 0.04102 | reg 0.00000 | mono 0.00000 | tail 0.06943)
  [Warmup theta] Ep 06 | total 0.04422  (data 0.04049 | reg 0.00000 | mono 0.00000 | tail 0.07460)
  [Warmup theta] Ep 07 | total 0.04428  (data 0.04055 | reg 0.00000 | mono 0.00000 | tail 0.07456)
  [Warmup theta] Ep 08 | total 0.04365  (data 0.03996 | reg 0.00000 | mono 0.00000 | tail 0.07364)
  [Warmup theta] Ep 09 | total 0.04360  (data 0.04014 | reg 0.00000 | mono 0.00000 | tail 0.06923)
  [Warmup theta] Ep 10 | total 0.04404  (data 0.04046 | reg 0.00000 | mono 0.00000 | tail 0.07149)
  [Warmup theta] Ep 11 | total 0.04341  (data 0.03981 | reg 0.00000 | mono 0.00000 | tail 0.07215)
  [Warmup theta] Ep 12 | total 0.04347  (data 0.03985 | reg 0.00000 | mono 0.00000 | tail 0.07232)
  [Warmup theta] Ep 13 | total 0.04344  (data 0.03990 | reg 0.00000 | mono 0.00000 | tail 0.07079)
  [Warmup theta] Ep 14 | total 0.04390  (data 0.04025 | reg 0.00000 | mono 0.00000 | tail 0.07295)
  [Warmup theta] Ep 15 | total 0.04396  (data 0.04044 | reg 0.00000 | mono 0.00000 | tail 0.07036)
  [Warmup theta] Ep 16 | total 0.04382  (data 0.04032 | reg 0.00000 | mono 0.00000 | tail 0.06999)
  [Warmup theta] Ep 17 | total 0.04307  (data 0.03957 | reg 0.00000 | mono 0.00000 | tail 0.07001)
  [Warmup theta] Ep 18 | total 0.04298  (data 0.03944 | reg 0.00000 | mono 0.00000 | tail 0.07072)
